dataset_id	module_gene_count	responder_mean_score	nonresponder_mean_score	direction	lodo_module_gene_count	lodo_responder_mean_score	lodo_nonresponder_mean_score	lodo_direction
GSE12251	68	-0.5444261953038403	0.5939194857860076	higher_in_nonresponders	632	-0.3800443597945858	0.41459384704863905	higher_in_nonresponders
GSE16879	68	-0.6734727539409727	0.3367363769704863	higher_in_nonresponders	1007	-0.26366625857903364	0.13183312928951685	higher_in_nonresponders
GSE23597	68	-0.27437703113095446	0.9799179683248374	higher_in_nonresponders	524	-0.2153739722871921	0.7691927581685433	higher_in_nonresponders
