ID_REF	logFC	AveExpr	t	P.Value	adj.P.Val	B	response_reference	SYMBOL	ENTREZID
225043_PM_at	-0.293207188160676	7.9536724137931	-3.76641600913796	0.000298752957316871	0.982534330858058	-0.400076079388236	responder_vs_nonresponder	SLC15A4	121260
229242_PM_at	-0.526001215644821	7.65177011494253	-3.74044484545419	0.000326643085825321	0.982534330858058	-0.461276774911337	responder_vs_nonresponder	TNFSF15	9966
238424_PM_at	0.223265274841437	6.10025632183908	3.51064606558084	0.000707441377181312	0.982534330858058	-0.990524427264325	responder_vs_nonresponder	MAPDA	161823
1569289_PM_at	0.128242600422833	4.23931609195402	3.41013533694676	0.000982245989476963	0.982534330858058	-1.21479815743099	responder_vs_nonresponder	BIVM	54841
225286_PM_at	0.498991437632136	9.19995977011494	3.39325082915877	0.0010372953265648	0.982534330858058	-1.25202637864777	responder_vs_nonresponder	ARSD	414
205509_PM_at	0.759883773784356	5.56437701149425	3.38992329694462	0.00104848126907768	0.982534330858058	-1.25934781498051	responder_vs_nonresponder	CPB1	1360
207666_PM_x_at	0.146382029598309	3.95537701149425	3.31668663579711	0.00132536727282322	0.982534330858058	-1.41919500759524	responder_vs_nonresponder	SSX3	10214
208741_PM_at	0.242858033826638	8.47602873563218	3.3035454051373	0.00138180173425921	0.982534330858058	-1.44761316546924	responder_vs_nonresponder	SAP18	10284
1569203_PM_at	-0.245614164904863	3.61489540229885	-3.29470970571277	0.00142100511171261	0.982534330858058	-1.46667492675272	responder_vs_nonresponder	CXCL2	2920
209466_PM_x_at	0.392285517970402	7.51356551724138	3.28824357789681	0.00145035311620826	0.982534330858058	-1.48060137180207	responder_vs_nonresponder	PTN	5764
1557881_PM_at	0.142413002114165	3.44244712643678	3.26655332042316	0.00155300150841503	0.982534330858058	-1.52717247034467	responder_vs_nonresponder	ZNF32-AS3	414201
1565668_PM_at	0.134909408033827	3.50988390804598	3.26112691205279	0.00157972550802616	0.982534330858058	-1.53878859866367	responder_vs_nonresponder	TUBA1B	10376
212937_PM_s_at	-0.251774894291755	5.85483908045977	-3.24352431087319	0.00166940836895543	0.982534330858058	-1.57637332049727	responder_vs_nonresponder	COL6A1	1291
1561352_PM_at	0.105089217758985	3.39527701149425	3.23251029565135	0.00172792311365773	0.982534330858058	-1.59981488968511	responder_vs_nonresponder	LINC01204	101927528
215679_PM_at	0.121295031712474	4.1582367816092	3.20710200665424	0.00187030657282613	0.982534330858058	-1.65367000157601	responder_vs_nonresponder	LUNAR1	104564224
207610_PM_s_at	-0.655947251585625	6.16406436781609	-3.20521863019791	0.00188128565133524	0.982534330858058	-1.65764958755554	responder_vs_nonresponder	ADGRE2	30817
