SYMBOL	GSE12251_logFC	GSE12251_PValue	GSE12251_adjP	GSE16879_logFC	GSE16879_PValue	GSE16879_adjP	GSE23597_logFC	GSE23597_PValue	GSE23597_adjP	GSE12251_direction	GSE16879_direction	GSE23597_direction	max_same_direction_cohorts	nominal_p_lt_0_05_cohorts
NAMPT	-2.14390323885075	4.58843923475965e-06	0.0130486967860899	-0.516265484387219	0.0100571095057903	0.414754560034003	-0.817221024475071	0.0226885343294769	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
CLEC4E	-1.0785153415995	1.0457120922942e-05	0.016815973131231	-1.76107397372958	0.00302100316651574	0.36021998381195	-0.385172816442653	0.0427916191223579	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
CMTM2	-2.3181518064561	1.24435276608181e-05	0.0173046522388354	-1.05651987271758	0.0341742063030722	0.516270835843527	-0.859958340329642	0.0281444232943893	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
SRGN	-2.15441379734726	2.00981065262153e-05	0.0200379151011103	-1.47464486179441	0.000869351736445977	0.358334591272218	-0.924558763061901	0.013403352191068	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
TAGAP	-1.90073954521895	3.30089928451062e-05	0.0234385283611192	-1.84088443355181	0.000505083363459409	0.31028576288925	-0.739831770027853	0.043966917751487	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
MASP1	-1.28470839440863	4.56031790240212e-05	0.0277039312570929	-0.907023589028393	0.0329428170599055	0.514674717419875	-0.502720634937266	0.0387820134664979	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
STEAP4	-1.59363230909557	4.79274883923664e-05	0.027930597421662	-2.04398901874992	0.00299226306384953	0.36021998381195	-0.776632954816141	0.0120607987976324	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
CXCR2	-2.73525498830422	9.72216109133977e-05	0.0408891659745386	-1.21873674579165	0.0343690106788878	0.516881879118358	-1.00613135196231	0.039211416565647	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
FGFR2	1.61229571257876	0.000160798502548409	0.0484399789961793	1.42983611422782	0.00180221431100546	0.358334591272218	-0.310235781145881	0.0466375580067591	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	3
RGS5	-1.00641357582303	0.000366904819351079	0.0645032829518336	-1.6194187680442	9.51727388790832e-05	0.308723043324931	-0.665894384693151	0.0131319249867576	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
OLFM1	-1.17667702944585	0.000380053716782175	0.0647273261443656	-0.967710487956872	0.0155503004468235	0.441140839423262	-0.616415427309148	0.0174427851706674	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
CFLAR	-0.611159191963442	0.000568536705908005	0.0794360577386271	-0.556231393296919	0.00130694291827507	0.358334591272218	-0.268074683728485	0.0190659126837067	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
SH2D6	1.56298676792461	0.00083056189546329	0.0948086064669977	1.60154895178205	0.00360286807652471	0.364406519443386	0.694030197492731	0.0281385342429336	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	3
CD93	-0.791575300208817	0.000952169780677395	0.100503051466577	-1.05205003056559	0.00402602354522308	0.364406519443386	-0.580831394185566	0.00898431562387112	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	3
