ID_REF	logFC	AveExpr	t	P.Value	adj.P.Val	B	response_reference	SYMBOL	ENTREZID
1553422_s_at	-1.1580240844636	6.52766006857957	-4.59218240861788	3.46149559242916e-05	0.978703585101868	-2.44536093657528	responder_vs_nonresponder	RBFOX1	54715
230054_at	-1.17127190183898	5.314893071282	-4.01831580156648	0.000217549569186316	0.978703585101868	-2.86521113405784	responder_vs_nonresponder	PRRT1	80863
215594_at	-1.03044047610372	6.34667965105967	-4.00290994819076	0.000228276966344509	0.978703585101868	-2.87647023371739	responder_vs_nonresponder	ERV9-1	100616497
207939_x_at	0.586509092201249	9.50809986614917	3.98479459779921	0.000241547668395542	0.978703585101868	-2.88970481977485	responder_vs_nonresponder	RNPS1	10921
1568783_at	-1.0100240143907	4.88239757542739	-3.9555674610694	0.000264548606149109	0.978703585101868	-2.91104567952693	responder_vs_nonresponder	SREK1	140890
202632_at	0.305581281260593	10.4659087994681	3.79369051869223	0.000435688713148507	0.978703585101868	-3.02890732206378	responder_vs_nonresponder	DPH1	1801
236203_at	-1.69931380656585	8.10981448207105	-3.78874833612611	0.000442316307689802	0.978703585101868	-3.03249481526726	responder_vs_nonresponder	HLA-DQA1	3117
204172_at	0.301694913449477	9.71784108823871	3.70001532912203	0.000579211174890235	0.978703585101868	-3.09676990094783	responder_vs_nonresponder	CPOX	1371
227718_at	0.256918730675885	8.2161308365504	3.68058077613968	0.000614223975429204	0.978703585101868	-3.11081036535322	responder_vs_nonresponder	PURB	5814
1558518_at	-0.918883733572265	6.3540196959607	-3.67697403824908	0.000620941772695059	0.978703585101868	-3.1134144583239	responder_vs_nonresponder	TAB3	257397
1567015_at	-0.745682782494119	4.76685890160701	-3.65746822889765	0.000658513580328307	0.978703585101868	-3.12748893741865	responder_vs_nonresponder	NFE2L2	4780
232885_at	-0.919287568895369	6.62581858564772	-3.6450231288729	0.000683615876798608	0.978703585101868	-3.13646073641315	responder_vs_nonresponder	BBIP1	92482
207869_s_at	-1.27148371629844	3.96904925856728	-3.63749903449692	0.000699235183736901	0.978703585101868	-3.14188183222089	responder_vs_nonresponder	CACNA1G	8913
219587_at	-0.960553249004033	7.01357011144335	-3.63632027019092	0.000701713012446565	0.978703585101868	-3.14273091520405	responder_vs_nonresponder	TTC12	54970
209047_at	-0.629982550389702	10.6234297782338	-3.61875481409333	0.00073964990778156	0.978703585101868	-3.1553766014919	responder_vs_nonresponder	AQP1	358
232936_at	-0.751936414890161	3.53089807978995	-3.60183594742149	0.000778045213789555	0.978703585101868	-3.16754412954378	responder_vs_nonresponder	KCNA7	3743
219568_x_at	-0.685929891518416	7.75136228767576	-3.59601963787238	0.000791680606182147	0.978703585101868	-3.17172409983785	responder_vs_nonresponder	SOX18	54345
217434_at	-1.17381657641118	4.72287217696746	-3.58711345931064	0.000813004519640983	0.978703585101868	-3.17812167663327	responder_vs_nonresponder	MC2R	4158
1558691_a_at	-0.692934135461423	6.10094399368116	-3.5840345233332	0.000820503575741313	0.978703585101868	-3.18033252475354	responder_vs_nonresponder	DOCK4	9732
235499_at	-0.469168198088897	6.75603244449735	-3.58334087023747	0.000822202161795207	0.978703585101868	-3.1808305461219	responder_vs_nonresponder	LOC728743	728743
218486_at	-0.362890150415425	8.54832196949383	-3.5719735904575	0.000850522455535672	0.978703585101868	-3.18898871197784	responder_vs_nonresponder	KLF11	8462
222012_at	-0.374248545571821	3.85904192183813	-3.56489893728926	0.000868617349490935	0.978703585101868	-3.19406304249595	responder_vs_nonresponder	DCAF15	90379
224997_x_at	-0.681852867516059	8.5607702037132	-3.5577415315034	0.000887298730113757	0.978703585101868	-3.19919429895734	responder_vs_nonresponder	H19	283120
1562478_at	-0.661941910768168	4.10457910291753	-3.55272423667573	0.000900622935467058	0.978703585101868	-3.20278980426011	responder_vs_nonresponder	LINC00659	100652730
224766_at	-0.354355003539259	7.84941663136372	-3.53232951189149	0.000956782053621961	0.978703585101868	-3.21739240422712	responder_vs_nonresponder	RPL37	6167
232714_at	-1.10564503189837	4.4803208619814	-3.51707033155789	0.00100097467858113	0.978703585101868	-3.22830431767519	responder_vs_nonresponder	TP53TG5	27296
1570141_at	1.01229584789848	2.72376848827293	3.51362261498112	0.00101122664006853	0.978703585101868	-3.23076814531643	responder_vs_nonresponder	MYO5B	4645
216061_x_at	-0.461591999578656	8.31212310773019	-3.50968070877317	0.00102307109240999	0.978703585101868	-3.23358437908951	responder_vs_nonresponder	PDGFB	5155
240087_at	-0.670023665737184	4.00218428785071	-3.50589436435313	0.0010345729035159	0.978703585101868	-3.23628871172066	responder_vs_nonresponder	ATP6V0D1-DT	101927837
1552461_at	1.07292889977296	5.1612090081836	3.49791590667673	0.00105921502276946	0.978703585101868	-3.24198472491237	responder_vs_nonresponder	TENT5D	169966
230636_s_at	-0.610210020392116	6.69265488506447	-3.47388483362155	0.00113687065454771	0.978703585101868	-3.25912050835369	responder_vs_nonresponder	KLF9	687
203666_at	-0.529925267093936	9.54554293511835	-3.46429134220665	0.00116936547538782	0.978703585101868	-3.26595250562521	responder_vs_nonresponder	CXCL12	6387
1561270_at	-0.673593926576254	6.25473870418351	-3.45982737345497	0.00118478615848374	0.978703585101868	-3.26912977055377	responder_vs_nonresponder	LINC01440	102723578
1555252_a_at	-0.750886419194076	4.20145381680618	-3.45788005012123	0.00119157376428002	0.978703585101868	-3.27051544299716	responder_vs_nonresponder	TRPM3	80036
231873_at	-0.396926553420809	9.95456436005046	-3.45691000576022	0.00119496878865219	0.978703585101868	-3.27120562553821	responder_vs_nonresponder	BMPR2	659
206368_at	-0.71444508135267	5.79852392131415	-3.44579143096082	0.00123454729158158	0.978703585101868	-3.27911263491709	responder_vs_nonresponder	CPLX2	10814
206946_at	-0.889163425696637	5.18338052950164	-3.43129442638137	0.00128803252844969	0.978703585101868	-3.28941156172425	responder_vs_nonresponder	HCN4	10021
1557704_a_at	-1.27078842114385	5.18992571596955	-3.42868413706187	0.00129789470730765	0.978703585101868	-3.29126465746817	responder_vs_nonresponder	MARCHF7	64844
204275_at	0.346419926676791	9.16319058329888	3.38645247837737	0.00146780744202781	0.978703585101868	-3.32118907024064	responder_vs_nonresponder	CAPN15	6650
1553253_at	-1.15833479372685	6.46721509816282	-3.37396901298202	0.00152195755116688	0.978703585101868	-3.33001359020586	responder_vs_nonresponder	ASB16	92591
222783_s_at	-1.27551161517205	6.37851546322327	-3.36083904910976	0.00158096018042389	0.978703585101868	-3.33928446599799	responder_vs_nonresponder	SMOC1	64093
240487_at	-0.893956308277265	5.78625706557898	-3.36082859196049	0.00158100802757737	0.978703585101868	-3.33929184523667	responder_vs_nonresponder	LOC102724551	102724551
1561305_at	-0.880110092671515	4.5916641228683	-3.36046716405147	0.00158266260360975	0.978703585101868	-3.33954688773897	responder_vs_nonresponder	LINC02355	101927849
