dataset_id	fdr_lt_0_05	fdr_lt_0_10	p_lt_0_05	top_probe	top_logFC	top_adj_p
GSE12251	187	513	6212	213524_s_at	-2.80477258472298	0.00491291793768228
GSE16879	0	0	4990	203424_s_at	-2.49526627224657	0.122938061510805
GSE23597	0	42	8298	234646_at	-1.90750670416372	0.0526943995830823
