feature	dataset_id	effect	ci_lower	ci_upper	pvalue	fdr	direction_consistent	adjusted_effect_after_inflammatory_proxy	adjusted_pvalue_after_inflammatory_proxy	adjusted_fdr_after_inflammatory_proxy
strict_nonresponse_module	GSE12251	2.0084286696762934	0.9894455339309485	3.0274118054216386	6.10923987874238e-05	0.000488739190299391	yes	0.396273574303526	0.0146384377212963	0.0439153131638888
strict_nonresponse_module	GSE16879	1.4786202642157085	0.5240599324173146	2.433180596014102	0.00185344532299423	0.00635466967883736	yes	0.531373944074859	0.0389917583470527	0.0935802200329265
strict_nonresponse_module	GSE23597	1.1455189781490496	0.5128574960778436	1.7781804602202556	0.000322978769139177	0.00155029809186805	yes	0.405664696131216	0.000304966308533602	0.00155029809186805
strict_nonresponse_module	meta_random	1.4092794847343522	0.9383977883647485	1.8801611811039558	4.464580300845663e-09		yes			
lodo_nonresponse_axis	GSE12251	1.5768754369353055	0.6298776177340766	2.5238732561365342	0.000787798149240341	0.00315119259696136	yes	0.205678875732048	0.163953120112826	0.218604160150434
lodo_nonresponse_axis	GSE16879	0.6870985659064486	-0.18555199955883017	1.5597491313717273	0.11450510854054	0.172063416492124	yes	0.0376554421238584	0.816991403754658	0.816991403754658
lodo_nonresponse_axis	GSE23597	0.5553919051082731	-0.0407818218840742	1.1515656321006205	0.0647419312368241	0.141255122698525	yes	0.0472604625353864	0.602797645299845	0.688911594628395
lodo_nonresponse_axis	meta_random	0.8609808304785816	0.27650683810665744	1.4454548228505057	0.0038862553235370703		yes			
