feature	model	effect	se	ci_lower	ci_upper	pvalue	q	df	tau2	i2
strict_nonresponse_module	fixed_effect	1.4079986884625353	0.23895293216892355	0.9396509414114451	1.8763464355136255	3.8069943267595745e-09	2.0161071425487673	2	0.0015402712281480364	0.7989229445615991
strict_nonresponse_module	random_effect	1.4092794847343522	0.24024576345387938	0.9383977883647485	1.8801611811039558	4.464580300845663e-09	2.0161071425487673	2	0.0015402712281480364	0.7989229445615991
lodo_nonresponse_axis	fixed_effect	0.8056842294377672	0.22284578483275905	0.36890649116555946	1.2424619677099749	0.0002998448509418918	3.2956959064292346	2	0.1065514652097134	39.31478944709658
lodo_nonresponse_axis	random_effect	0.8609808304785816	0.2982010165162879	0.27650683810665744	1.4454548228505057	0.0038862553235370703	3.2956959064292346	2	0.1065514652097134	39.31478944709658
