pathway	pval	padj	log2err	ES	NES	size	leadingEdge	dataset_id	direction
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.242424242424242	0.391006842619746	0.0988903007520636	-0.239633917455535	-1.12636799292351	87	CCL7|PTPN2|CSF2|CSF3R|GRB2|SOCS3|IL6ST|A2M|IL7|LTBR|PIK3R5|IFNGR1|ITGB3|IL1B|CCR1|CSF2RA|CD44|IFNAR1|TLR2|CRLF2|IL17RA|CSF2RB|PTPN1|STAT3|JUN|ACVR1B|STAT2|CBL|IL6|LTB|EBI3|IL18R1|LEPR|TGFB1	GSE23597	up_in_nonresponders
HALLMARK_MYC_TARGETS_V2	0.281967213114754	0.42722305017387	0.149207542435322	0.230055881521824	1.10274224462672	58	CBX3|NOC4L|PLK4|PRMT3|NIP7|DDX18|MAP3K6|SORD|MCM4|PPAN|GRWD1|TBRG4|FARSA|MYBBP1A|NDUFAF4|UNG|MCM5|HK2|SUPV3L1|TMEM97|IPO4	GSE23597	up_in_responders
HALLMARK_MYOGENESIS	0.281368821292776	0.42722305017387	0.0855356947987884	-0.203703835619029	-1.08923434416233	200	ITGB1|COL15A1|FABP3|SVIL|GJA5|DES|PDE4DIP|ACTN2|ANKRD2|TSC2|GSN|PTGIS|ENO3|SPARC|AKT2|LARGE1|SLC6A8|GADD45B|REEP1|CLU|GNAO1|WWTR1|CKM|COL4A2|TPM3|NAV2|SPEG|MYH1|ACSL1|DTNA|COX7A1|SPDEF|SGCD|ADAM12|MRAS|PTP4A3|MAPK12|MEF2A|FST|TEAD4|LDB3|RIT1|DMPK|HBEGF|GAA|KCNH2|NCAM1|APOD|MYLK|IGFBP7|ITGB5|PYGM|COX6A2|ACTN3|PFKM|ATP2A1|PPP1R3C|SCHIP1|AGRN|MYH8|COL6A2|TGFB1|ABLIM1|HSPB8|PRNP|IGF1|EFS|MYOM1|CHRNB1|TNNT3|CAV3|SMTN|CASQ2|APP|ERBB3|CDH13|LSP1|SGCG|LAMA2|SIRT2|COL6A3|COL3A1|MEF2C|AEBP1|MYH4|TNNT2|MYH11|DENND2B	GSE23597	up_in_nonresponders
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.314917127071823	0.458553791887125	0.0840745577910723	-0.226259101417178	-1.08194571918288	97	SLC25A28|NCOA7|TXNIP|TENT5A|SP110|PARP9|IL7|IFIH1|IFIT2|LAMP3|MX1|ELF1|HELZ2|CNP|CD47|BST2|CD74|PROCR|EPSTI1|B2M|GMPR|IFIT3|GBP2|IFITM2|STAT2|IFITM3|TMEM140|IFITM1|PARP14|TRAFD1|IFI44|SAMD9L	GSE23597	up_in_nonresponders
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.320987654320988	0.458553791887125	0.134273452883202	0.238487249125862	1.0676076679516	42	DKK4|CSNK1E|CTNNB1|MAML1|AXIN2|HDAC2|PSEN2|WNT6|NCOR2|PPARD|NOTCH1|JAG1|DVL2|SKP2|TP53	GSE23597	up_in_responders
HALLMARK_ANDROGEN_RESPONSE	0.366548042704626	0.509094503756425	0.135002033828631	0.193047722150509	1.04778731584173	101	B4GALT1|ADRM1|INSIG1|SEC24D|SMS|CDC14B|UBE2J1|PDLIM5|ACSL3|HMGCS1|BMPR1B|CAMKK2|SORD|SCD|TMPRSS2|ABCC4|GSR|HPGD|MAP7|STK39|TPD52|TSC22D1|SELENOP|H1-0|LMAN1|ZMIZ1|UBE2I|KRT19|IDI1|SPCS3|DHCR24|MYL12A|HOMER2|PLPP1|UAP1|KRT8|HMGCR|SAT1|RAB4A	GSE23597	up_in_responders
HALLMARK_APOPTOSIS	0.380952380952381	0.511616708799807	0.147331213699377	0.17361422036612	1.03511731906353	161	CASP3|BMP2|SATB1|ERBB2|SPTAN1|PTK2|BCL2L11|XIAP|CTNNB1|CTH|BCL2L10|SQSTM1|WEE1|BCL10|FAS|DNAJA1|PMAIP1|ATF3|GADD45A|MADD|DIABLO|PDCD4|VDAC2|PSEN2|FEZ1|GSR|CASP8|CDKN1A|SC5D|HMOX1|CASP9|IL18|MMP2|H1-0|BIRC3|TSPO|TOP2A|SLC20A1|AIFM3|CASP6|ETF1|CASP2|FASLG|BAX|BTG3|NEFH|HMGB2|CDKN1B|TNFSF10|CASP7|PAK1	GSE23597	up_in_responders
HALLMARK_HYPOXIA	0.397972116603295	0.511616708799807	0.0675188953767744	-0.192448204116976	-1.02904882846001	200	PDGFB|AKAP12|TGM2|PDK3|TPST2|AK4|BCL2|HEXA|RBPJ|BRS3|CAV1|SAP30|KDM3A|PGK1|DCN|ENO3|PRKCA|FOXO3|LARGE1|PGF|WSB1|SERPINE1|RORA|JMJD6|EXT1|MT2A|IDS|DUSP1|BNIP3L|CAVIN1|DTNA|HDLBP|PHKG1|CAVIN3|CDKN1C|ZNF292|BTG1|PDK1|CP|FAM162A|ANGPTL4|NFIL3|JUN|GAA|SLC6A6|EGFR|COL5A1|IL6|KLF7|ILVBL|PYGM|UGP2|CCN1|ZFP36|SDC2|NR3C1|SLC2A3|PPP1R3C|TGFBI|NCAN|VEGFA|S100A4|MT1E|NAGK|PAM|AMPD3|SRPX|ALDOB|CHST3|KIF5A|EDN2|P4HA1|PFKFB3|CA12|TKTL1|CHST2	GSE23597	up_in_nonresponders
HALLMARK_XENOBIOTIC_METABOLISM	0.39906103286385	0.511616708799807	0.150169802128406	0.163577303706262	1.02191372454634	200	APOE|MARCHF6|HNF4A|F11|PC|ARPP19|SERPINA6|SLC35D1|EPHA2|PDLIM5|CD36|SAR1B|NPC1|IGFBP1|TMEM176B|FAS|ESR1|ABCC3|GCLC|MTHFD1|ECH1|XDH|ID2|ARG1|PLG|GSR|ALDH2|NQO1|DHRS7|DDAH2|JUP|HMOX1|UGDH|RBP4|PPARD|MCCC2|CDA|ITIH1|ATP2A2|MBL2|PTS|HPRT1|CYP2J2|BCAR1|AP4B1|CASP6|SLC1A5|NMT1	GSE23597	up_in_responders
HALLMARK_BILE_ACID_METABOLISM	0.436567164179104	0.533246777334694	0.12563992130984	0.183839490602725	1.01787125859691	112	PEX1|GCLM|PEX13|NR1I2|PEX16|SERPINA6|MLYCD|NPC1|SLCO1A2|HAO1|ABCD3|AGXT|SULT2B1|ISOC1|IDH2|PRDX5|APOA1|BMP6|NUDT12|ACSL5|SLC27A2|NR3C2|SCP2|IDI1|OPTN|PECR|DHCR24|CYP39A1|ABCG8|PEX26|IDH1|TFCP2L1	GSE23597	up_in_responders
