gene	diseased_B	diseased_M/DC	diseased_NK	diseased_T	diseased_unknown	healthy_B	healthy_M/DC	healthy_NK	healthy_T	healthy_unknown
BCL6	0.04231533985102332	0.12935728232339025	0.07091820000466138	0.05925380059182908	0.17558614233358757	0.007749363136519666	0.18839588870168683	0.0769012368889256	0.03337671947529991	0.028430549113431614
CD86	0.06485445093442298	0.7249766803201155	0.004569294779854242	0.0020517523610906535	0.13293068345247935	0.0545273111596468	0.6407425353023426	0.0	0.0018260786196445074	0.02539445083005235
CD93	7.8697395615189e-05	0.19142246796875495	0.005654494662811264	0.0005291428246033094	0.0	0.0	0.2918732921692956	0.0	0.0012805041413591874	0.0
CEBPB	0.1461775627857109	0.6033626134641112	0.2712053208377747	0.20005053448570495	0.10807865380219692	0.2325095998729491	0.7661685173601612	0.31934057893941514	0.3142378662663566	0.1958737436824134
CFLAR	0.28882325132282644	0.7686635826869802	0.5762063908510751	0.3824531776321378	0.31977589850886545	0.3870306942568561	0.646934086239078	0.31621147927610965	0.282908073387123	0.2988047932750637
CHST15	0.07544887635158423	0.015816047503220146	0.004148115447817104	0.005443145427443593	0.02692264587320755	0.10555000724596124	0.06608877724102714	0.03505441088657831	0.0071751559268989	0.03415867873169113
CLEC4E	0.0	0.08163012242429722	0.0	0.0	0.0	0.0	0.09143142434580989	0.0	0.0	0.0
CSF2RB	0.06194356487937056	0.15354845471644893	0.0	0.005787223360719958	0.06672078083487483	0.12861772119405285	0.1317359175760368	0.008343724246097563	0.007477393997776911	0.07500656768989859
DENND5A	0.013726040642961164	0.116607732332355	0.04808930042339074	0.017141616720082235	0.009137644878827218	0.004859493524008611	0.07669884414639454	0.05379229467801228	0.016340641762961936	0.009186274036510763
FCGR2A	0.008012946358818218	0.4997207112637469	0.0	0.0	0.008800369873363514	0.004201233632433847	0.39411060491036215	0.0	0.0004006528242407031	0.0
G0S2	0.10870919607936545	1.055890436214208	0.026116971854411673	0.022348816760221192	0.014646923022932848	0.09093541360021327	0.8717122440202355	0.02683003681853482	0.0063189416280870605	0.010440170999046764
GLIPR1	0.2900840703668147	1.0561968325645612	0.43116055446049023	0.36138793288346205	0.3075898206833729	0.22075350455546894	1.0997012234939751	0.4160295901486178	0.5257754136883308	0.30929111967359724
HLA-DQA1	1.3096987575662016	3.278753716543683	0.1068270452998311	0.09531001171124837	1.081271770426957	0.6216223647767853	2.799256669551634	0.06914687327284216	0.03618474102335592	0.2264984311960186
IER5	0.23744417995063988	0.48527142982847205	0.49926605967681037	0.321830334802356	0.18370705993515082	0.18996193030348094	0.5208739276420327	0.85950053785442	0.4219543315228524	0.14398834668589805
IFIT3	0.007491473511996293	0.04327234287295347	0.012882932145405097	0.007899282698983302	0.005764258568013362	0.0023036291451991953	0.042350472036568804	0.0	0.009512397757389887	0.0
KLHL5	0.04824605751644698	0.07837064880960891	0.035306692815711305	0.026855126166660484	0.08992880633906337	0.047297846282002724	0.04377014700641043	0.07561183609513555	0.020819313863438608	0.04378572615563957
LILRA2	0.0033928786377394196	0.29381587137390686	0.0	0.0001419971393987495	0.0056756381248046816	0.008037827538740357	0.27986779716983146	0.0	0.0006592897744857451	0.011743191366030713
LILRB1	0.10299740401112835	0.42963946893246524	0.032429903027845645	0.005958958140301601	0.07925280739186892	0.12637331867221097	0.34759135421094317	0.036957972412954676	0.008344152470041877	0.05663335717505571
LILRB2	0.0006752660105085466	0.48401033977484686	0.0	0.00020748271863601288	0.0	0.0005680071063173647	0.43908155411412286	0.0	0.0	0.0
LILRB3	0.0007407510320985684	0.17754048050949606	0.0	0.0020136292690953283	0.0011759613746519307	0.001432351471522975	0.18491808483330585	0.013499767759674994	0.0018531560876123379	0.0
LRRC8C	0.02035619728437536	0.14909536647535807	0.016730143583659776	0.06116130525168771	0.03427926389768757	0.022573889605620408	0.0450068751628563	0.02615564869692298	0.035286758738131384	0.02347192930646275
LRRK2	0.049454727294802416	0.06956162761782311	0.0	0.0022006648638253205	0.034144604642673104	0.04333999236610513	0.13647126135362994	0.0	0.0026543547393019194	0.03042047345533632
NR4A3	0.17951764020649943	0.862970860664838	0.5094361031726701	0.22236273178057084	0.08496377687309946	0.0888776121989499	0.5179112967403543	0.5823382441908178	0.29742971187183814	0.11865326547003782
NRG1	0.000435929007413586	0.15391405016214793	0.0	0.0	0.0	0.0	0.03343411574885581	0.0	0.0	0.0
P2RX7	0.00884473666078981	0.033416102818903136	0.01597119411380625	0.015877204272647643	0.0	0.007262455964688144	0.1157552458838662	0.01635747519903882	0.01608116753963051	0.00411365457732432
P2RY13	0.0016686580657313866	0.389557647558404	0.0	0.0	0.0	0.0	0.4645532131059637	0.0	0.0010061822475843898	0.0021469327739503056
PTGS1	0.026827843326754683	0.12018678189863795	0.0	0.0008311155146658666	0.019930086810644086	0.010440222829417055	0.1419443727695248	0.0	0.000232664272355953	0.003777956350813809
PTGS2	0.0004900650693453597	0.6862891170876084	0.011434983825770038	0.0012250455411502684	0.0010115970255900788	0.0018382314933992152	0.5978067534497399	0.12528464915267531	0.002080414577225464	0.0
PTPRC	0.7496703175826561	1.3411003175807135	1.7165825277481421	1.6567206366903895	1.2813546453596754	0.48594502076108054	1.253526298221284	1.4846648602728494	1.4910412409611846	1.013006506620971
RAB31	0.10733334138308752	0.797540772296198	0.027344716322637797	0.003600400212362768	0.035265175064319455	0.08052025442633781	0.8161226350441161	0.0083466354624725	0.0029494584587763956	0.027401941775872147
RBMS1	0.08721404798146537	0.25049281917144317	0.35640908586431386	0.27014744528514056	0.08998188067046697	0.05841850645465918	0.14754236849286995	0.5108546812113252	0.3487330355043306	0.18674855147583866
RGS18	0.0	0.131881587794125	0.0	0.003436230869171616	0.004045468482629523	0.000530459917021063	0.14677682706512463	0.0	0.00594343056843056	0.0
