state	present_markers	n_present_markers
BEST4+ absorptive	BEST4|OTOP2|CA7|GUCA2A|GUCA2B|AQP8|SLC26A3	7
Goblet (secretory)	MUC2|SPINK4|CLCA1|FCGBP|ZG16|BPIFB1	6
Stem/TA	OLFM4|LGR5|SMOC2|PROM1|MYC|SOX9	6
Cycling	MKI67|TOP2A|CENPF|BIRC5|PCNA|HMGB2	6
Regenerative (Notch)	SOX4|ELF3|HES1|TLE4|KLF5|EGR1	6
Stress/inflammatory epithelial	DUOX2|DUOXA2|LCN2|REG1A|REG1B|CXCL1|CXCL8	7
