feature	dataset_id	effect	ci_lower	ci_upper	pvalue	fdr	direction_consistent	adjusted_effect_after_inflammatory_proxy	adjusted_pvalue_after_inflammatory_proxy
strict_nonresponse_module	GSE12251	1.8508527759136788	0.8595389848952893	2.842166566932068	0.000154791905834231	0.00149334915669041	yes	0.337109921980858	0.0382548587645705
strict_nonresponse_module	GSE16879	1.478747871916992	0.5241702815633723	2.4333254622706115	0.00185208628136293	0.00740834512545171	yes	0.438245444423318	0.0396538004088793
strict_nonresponse_module	GSE23597	2.028889823319577	1.0460251423612732	3.0117545042778806	3.38760723681766e-05	0.000813025736836239	yes	0.608892264671621	0.000186668644586302
strict_nonresponse_module	meta_random	1.7797270079096232	1.2163091940187876	2.343144821800459	5.968599590391966e-10		yes		
lodo_nonresponse_axis	GSE12251	1.5152976165301901	0.5775403090635648	2.4530549239968154	0.00113456888512613	0.00544593064860542	yes	0.210752751565664	0.259054314483841
lodo_nonresponse_axis	GSE16879	0.9023731917291551	0.012770011908549317	1.7919763715497607	0.0420770389352748	0.0776806872651227	yes	0.0678197851289248	0.654130291063258
lodo_nonresponse_axis	GSE23597	1.7180736439650313	0.7739039319936356	2.662243355936427	0.000273024972378025	0.00163814983426815	yes	0.403063257350226	0.00879894713069805
lodo_nonresponse_axis	meta_random	1.3600044375976343	0.8271923268371145	1.8928165483581543	5.647259591454765e-07		yes		
