cell_state	enrichment_score	median_module_score	n_cells	present_module_genes	supporting_genes	interpretation
Cycling	0.1253907567276163	0.13605907321999305	579	64	SRGN|PTPRC|GLIPR1|CFLAR|SOD2	marker-based coarse epithelial state assignment from deposited expression matrix
Stem/TA	0.11496218704201866	0.11462742311685019	108	64	SRGN|PTPRC|HLA-DQA1|CFLAR|SOD2	marker-based coarse epithelial state assignment from deposited expression matrix
Stress/inflammatory epithelial	0.08955301582477712	0.07045628106197156	544	64	CFLAR|SOD2|IER5|CEBPB|SRGN	marker-based coarse epithelial state assignment from deposited expression matrix
Goblet (secretory)	0.06646530709851481	0.05613821827966939	1510	64	IER5|CEBPB|CFLAR|SOD2|SRGN	marker-based coarse epithelial state assignment from deposited expression matrix
Regenerative (Notch)	0.04800819113302757	0.0386110124249087	6315	64	SOD2|IER5|CFLAR|CEBPB|SOCS3	marker-based coarse epithelial state assignment from deposited expression matrix
BEST4+ absorptive	0.03863164524416583	0.03265082980824399	2052	64	CFLAR|SOD2|IER5|CEBPB|SOCS3	marker-based coarse epithelial state assignment from deposited expression matrix
