pathway	GSE12251_NES	GSE12251_pval	GSE12251_padj	GSE12251_direction	nominal_p_lt_0_05_cohorts	max_same_direction_cohorts
HALLMARK_INFLAMMATORY_RESPONSE	-3.71481840687519	1.9496742955078e-43	4.87418573876951e-42	up_in_nonresponders	3	3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-3.86423854737414	4.05562946022643e-49	2.02781473011322e-47	up_in_nonresponders	2	3
HALLMARK_IL6_JAK_STAT3_SIGNALING	-2.9926307017773	2.37219903237939e-15	1.07827228744518e-14	up_in_nonresponders	2	3
HALLMARK_INTERFERON_GAMMA_RESPONSE	-3.47820963338235	1.11731780633948e-35	1.39664725792435e-34	up_in_nonresponders	2	3
HALLMARK_INTERFERON_ALPHA_RESPONSE	-2.90900727450391	4.327449803729e-15	1.80310408488708e-14	up_in_nonresponders	2	3
HALLMARK_HYPOXIA	-2.00850009734952	5.99516427093465e-07	1.49879106773366e-06	up_in_nonresponders	2	3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.92376090048091	4.09376044053e-21	2.55860027533125e-20	up_in_nonresponders	3	3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.28384724830618	9.23652219884535e-32	7.69710183237113e-31	up_in_responders	3	3
