dataset_id	severity_proxy	base_effect	adjusted_effect	ci_lower	ci_upper	pvalue	fdr	interpretation
GSE12251	none	1.13834568108985	1.13834568108985	0.623740876621183	1.65295048555851	0.000154791905834231	0.00149334915669041	baseline group difference in module score
GSE12251	sample_level_inflammatory_proxy	1.13834568108985	0.337109921980858	0.0201423847723913	0.654077459189325	0.0382548587645705	0.0776806872651227	adjusted for mean z-score of 7 recurrent inflammatory genes
GSE12251	sample_level_hallmark_inflammatory_proxy	1.13834568108985	0.0240537610942242	-0.222216590858942	0.270324113047391	0.840614998330922	0.877163476519223	adjusted for sample-level mean z-score across 200 Hallmark inflammatory-response genes
GSE12251	sample_level_hallmark_inflammatory_plus_emt_proxy	1.13834568108985	0.016198989691403	-0.201799539679897	0.234197519062703	0.878045537844378	0.878045537844378	adjusted jointly for sample-level Hallmark inflammatory-response and EMT proxies (200 and 200 genes available)
GSE16879	none	1.01020913091146	1.01020913091146	0.417884219449098	1.60253404237382	0.00185208628136293	0.00740834512545171	baseline group difference in module score
GSE16879	sample_level_inflammatory_proxy	1.01020913091146	0.438245444423318	0.022783690849107	0.853707197997529	0.0396538004088793	0.0776806872651227	adjusted for mean z-score of 7 recurrent inflammatory genes
GSE16879	sample_level_hallmark_inflammatory_proxy	1.01020913091146	0.284146015194135	0.0235965066561585	0.544695523732111	0.0340036937038531	0.0776806872651227	adjusted for sample-level mean z-score across 200 Hallmark inflammatory-response genes
GSE16879	sample_level_hallmark_inflammatory_plus_emt_proxy	1.01020913091146	0.263965009711967	0.0277225929050644	0.50020742651887	0.030345485882824	0.0776806872651227	adjusted jointly for sample-level Hallmark inflammatory-response and EMT proxies (200 and 200 genes available)
GSE23597	none	1.25429499945579	1.25429499945579	0.728008899368917	1.78058109954267	3.38760723681766e-05	0.000813025736836239	baseline group difference in module score
GSE23597	sample_level_inflammatory_proxy	1.25429499945579	0.608892264671621	0.31786195802634	0.899922571316903	0.000186668644586302	0.00149334915669041	adjusted for mean z-score of 7 recurrent inflammatory genes
GSE23597	sample_level_hallmark_inflammatory_proxy	1.25429499945579	0.255098599344958	-0.00238710969225808	0.512584308382175	0.0520226376213984	0.0891816644938258	adjusted for sample-level mean z-score across 200 Hallmark inflammatory-response genes
GSE23597	sample_level_hallmark_inflammatory_plus_emt_proxy	1.25429499945579	0.285944457659593	0.0817975413766052	0.490091373942582	0.00774372100887154	0.0263968413920942	adjusted jointly for sample-level Hallmark inflammatory-response and EMT proxies (200 and 200 genes available)
