dataset_id	probes_n	samples_n	responder_n	nonresponder_n	log2_applied	min_value	median_value	max_value
GSE12251	54675	23	12	11	TRUE	-2.93043530490664	7.37264736429043	17.0705121019006
GSE16879	54675	24	8	16	TRUE	-3.32192809488736	5.19377174339668	15.127248768161
GSE23597	54675	32	25	7	TRUE	-2.93043530490664	7.38108497531447	17.0705121019006
