dataset_id	modality	role_in_this_study	platform_or_reference	access	download_url_or_landing	local_expected_path	used_in_pipeline	notes
GSE12251	bulk_microarray	discovery	GPL570 (HG-U133 Plus 2.0)	public	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12251/matrix/GSE12251_series_matrix.txt.gz	data/raw/geo/matrix/GSE12251_series_matrix.txt.gz	yes	Pretreatment UC mucosal biopsies from infliximab-treated patients.
GSE16879	bulk_microarray	replication	GPL570 (HG-U133 Plus 2.0)	public	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16879/matrix/GSE16879_series_matrix.txt.gz	data/raw/geo/matrix/GSE16879_series_matrix.txt.gz	yes	Pretreatment UC subset from infliximab-treated patients.
GSE23597	bulk_microarray	cohort_3	GPL570 (HG-U133 Plus 2.0)	public	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23597/matrix/GSE23597_series_matrix.txt.gz	data/raw/geo/matrix/GSE23597_series_matrix.txt.gz	yes	Pretreatment biopsies with week 30 response labels.
GSE92415	bulk_microarray	class_level_sensitivity	GPL570 (HG-U133 Plus 2.0)	public	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92415/matrix/GSE92415_series_matrix.txt.gz	data/raw/geo/matrix/GSE92415_series_matrix.txt.gz	yes in full mode	Golimumab-treated PURSUIT-SC cohort used as anti-TNF class-level sensitivity analysis.
GSE116222	single_cell_reference	epithelial_localization_reference	processed public epithelial reference	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116222	data/raw/geo/singlecell/GSE116222_Expression_matrix.txt.gz	included as derived tables	The release includes processed localization tables used for figure regeneration.
GSE125527	single_cell_reference	rectal_immune_localization_reference	processed public rectal immune reference	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125527	data/raw/geo/singlecell_ref/GSE125527_*.csv.gz	included as derived tables	The release includes processed localization tables used for figure regeneration.
